make,model,year,price,mileage,body_type,cylinders,transmission,fuel_type,color,location,description
toyota,camry,2016,47819.0,156500,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2016 toyota camry with Rear camera, Leather seats. Condition: Engine repaired."
kia,sorento,2013,61250.0,169543,SUV,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2013 kia sorento with Sunroof, Adaptive cruise control, Rear camera, Bluetooth. Condition: Accident history."
mini,cooper,2023,31861.0,221583,Soft Top Convertible,4,Automatic Transmission,Gasoline,Grey, Dubai,"2023 mini cooper with Adaptive cruise control, Rear camera, Sunroof, Bluetooth. Condition: Engine repaired."
nissan,altima,2016,110322.0,69754,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2016 nissan altima with Rear camera, Adaptive cruise control. Condition: Minor scratches."
toyota,land-cruiser-76-series,2020,139994.0,71399,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2020 toyota land-cruiser-76-series with Adaptive cruise control, Bluetooth, Rear camera. Condition: Dented door."
chevrolet,silverado,2010,43194.0,233934,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown, Dubai,"2010 chevrolet silverado with Navigation system, Bluetooth, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
chevrolet,camaro,2024,94100.0,147140,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 chevrolet camaro with Leather seats, Sunroof. Condition: Accident history."
cadillac,srx,2024,30047.0,51876,SUV,6,Automatic Transmission,Gasoline,Gold,Abu Dhabi,"2024 cadillac srx with Rear camera, Adaptive cruise control, Leather seats. Condition: Engine repaired."
mercedes-benz,g-class,2009,603574.0,32956,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 mercedes-benz g-class with Navigation system, Leather seats, Adaptive cruise control. Condition: Repainted bumper."
infiniti,q50,2013,49531.0,11954,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2013 infiniti q50 with Sunroof, Leather seats. Condition: Engine repaired."
toyota,land-cruiser,2008,470284.0,143940,SUV,6,Automatic Transmission,Diesel,White, Dubai,"2008 toyota land-cruiser with Adaptive cruise control, Bluetooth, Rear camera. Condition: Minor scratches."
mercedes-benz,amg-gt-4-doors,2019,479068.0,291481,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 mercedes-benz amg-gt-4-doors with Leather seats, Adaptive cruise control. Condition: Engine repaired."
mazda,6,2008,38078.0,269628,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2008 mazda 6 with Bluetooth, Sunroof, Adaptive cruise control. Condition: Dented door."
nissan,x-trail,2020,85012.0,28571,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan x-trail with Bluetooth, Sunroof, Navigation system, Leather seats. Condition: No damage."
